date,no. tweets,Select,no_tweets
2021-06-04,29378.0,all tweets,
2021-06-05,32049.0,all tweets,
2021-06-06,35012.0,all tweets,
2021-06-07,41262.0,all tweets,
2021-06-08,36138.0,all tweets,
2021-06-09,1219.0,all tweets,
2020-12-01,10976.0,all tweets,
2020-12-10,11857.0,all tweets,
2020-12-11,11365.0,all tweets,
2020-12-12,9459.0,all tweets,
2020-12-13,16266.0,all tweets,
2020-12-14,18692.0,all tweets,
2020-12-15,18927.0,all tweets,
2020-12-16,19311.0,all tweets,
2020-12-17,20901.0,all tweets,
2020-12-18,24723.0,all tweets,
2020-12-19,18898.0,all tweets,
2020-12-02,20896.0,all tweets,
2020-12-20,24443.0,all tweets,
2020-12-21,26020.0,all tweets,
2020-12-22,24542.0,all tweets,
2020-12-23,25576.0,all tweets,
2020-12-24,19916.0,all tweets,
2020-12-25,26173.0,all tweets,
2020-12-26,69335.0,all tweets,
2020-12-27,125757.0,all tweets,
2020-12-28,98552.0,all tweets,
2020-12-29,93961.0,all tweets,
2020-12-03,24226.0,all tweets,
2020-12-30,75117.0,all tweets,
2020-12-31,46158.0,all tweets,
2020-12-04,22467.0,all tweets,
2020-12-05,13846.0,all tweets,
2020-12-06,15486.0,all tweets,
2020-12-07,13902.0,all tweets,
2020-12-08,23435.0,all tweets,
2020-12-09,19412.0,all tweets,
2021-01-01,106.0,low-credibility,
2021-01-02,158.0,low-credibility,
2021-01-03,158.0,low-credibility,
2021-01-04,153.0,low-credibility,
2021-01-05,166.0,low-credibility,
2021-01-06,125.0,low-credibility,
2021-01-07,94.0,low-credibility,
2021-01-08,86.0,low-credibility,
2021-01-09,65.0,low-credibility,
2021-01-10,78.0,low-credibility,
2021-01-11,100.0,low-credibility,
2021-01-12,90.0,low-credibility,
2021-01-13,93.0,low-credibility,
2021-01-14,89.0,low-credibility,
2021-01-15,82.0,low-credibility,
2021-01-16,105.0,low-credibility,
2021-01-17,100.0,low-credibility,
2021-01-18,88.0,low-credibility,
2021-01-19,94.0,low-credibility,
2021-01-20,84.0,low-credibility,
2021-01-21,85.0,low-credibility,
