date,no. tweets,Select,no_tweets
2021-03-01,,low/high credibility (%),19.44055944055944
2021-03-02,,low/high credibility (%),15.87516960651289
2021-03-03,,low/high credibility (%),16.109045848822802
2021-03-04,,low/high credibility (%),14.491150442477876
2021-03-05,,low/high credibility (%),18.741976893453145
2021-03-06,,low/high credibility (%),18.04123711340206
2021-03-07,,low/high credibility (%),17.1875
2021-03-08,,low/high credibility (%),16.79049034175334
2021-03-09,,low/high credibility (%),14.554455445544553
2021-03-10,,low/high credibility (%),16.42294713160855
2021-03-11,,low/high credibility (%),19.5364238410596
2021-03-12,,low/high credibility (%),26.366001734605376
2021-03-13,,low/high credibility (%),26.744186046511626
2021-03-14,,low/high credibility (%),24.42899702085402
2021-03-15,,low/high credibility (%),22.844827586206897
2021-03-16,,low/high credibility (%),21.01769911504425
2021-03-17,,low/high credibility (%),18.3206106870229
2021-03-18,,low/high credibility (%),20.054694621695536
2021-03-19,,low/high credibility (%),16.2215628090999
2021-03-20,,low/high credibility (%),16.56590084643289
2021-03-21,,low/high credibility (%),18.596491228070175
2021-03-22,,low/high credibility (%),15.699658703071673
2021-03-23,,low/high credibility (%),18.97133220910624
2021-03-24,,low/high credibility (%),16.163265306122447
2021-03-25,,low/high credibility (%),18.4377838328792
2021-03-26,,low/high credibility (%),20.10204081632653
2021-03-27,,low/high credibility (%),19.418758256274767
2021-03-28,,low/high credibility (%),16.08876560332871
2021-03-29,,low/high credibility (%),17.811158798283262
2021-03-30,,low/high credibility (%),14.44759206798867
2021-03-31,,low/high credibility (%),18.585005279831044
2021-04-01,,low/high credibility (%),14.910536779324055
2021-04-02,,low/high credibility (%),16.17161716171617
2021-04-03,,low/high credibility (%),21.88782489740082
2021-04-04,,low/high credibility (%),21.69657422512235
2021-04-05,,low/high credibility (%),23.7012987012987
2021-04-06,,low/high credibility (%),17.555555555555554
2021-04-07,,low/high credibility (%),17.290748898678416
2021-04-08,,low/high credibility (%),15.010570824524313
2021-04-09,,low/high credibility (%),18.22173435784852
2021-04-10,,low/high credibility (%),22.0
2021-04-11,,low/high credibility (%),21.447721179624665
2021-04-12,,low/high credibility (%),17.301414581066375
2021-04-13,,low/high credibility (%),14.522058823529413
2021-04-14,,low/high credibility (%),17.938144329896907
2021-04-15,,low/high credibility (%),18.758085381630014
2021-04-16,,low/high credibility (%),22.2972972972973
2021-04-17,,low/high credibility (%),26.666666666666668
2021-04-18,,low/high credibility (%),20.958083832335326
2021-04-19,,low/high credibility (%),22.58064516129032
2021-04-20,,low/high credibility (%),18.24212271973466
2021-04-21,,low/high credibility (%),23.18840579710145
2021-04-22,,low/high credibility (%),19.310344827586206
2021-04-23,,low/high credibility (%),18.415841584158414
2021-04-24,,low/high credibility (%),19.902912621359224
2021-04-26,,low/high credibility (%),13.636363636363635
2021-04-27,,low/high credibility (%),10.619469026548673
2021-04-28,,low/high credibility (%),12.18274111675127
2021-04-29,,low/high credibility (%),13.852813852813853
2021-04-30,,low/high credibility (%),10.975609756097562
2021-05-01,,low/high credibility (%),17.96690307328605
2021-05-02,,low/high credibility (%),18.96551724137931
2021-05-03,,low/high credibility (%),19.718309859154928
2021-05-04,,low/high credibility (%),17.40041928721174
2021-05-05,,low/high credibility (%),15.424610051993067
2021-05-06,,low/high credibility (%),14.122681883024251
2021-05-07,,low/high credibility (%),15.598885793871867
2021-05-08,,low/high credibility (%),18.023255813953487
2021-05-09,,low/high credibility (%),17.892156862745097
2021-05-10,,low/high credibility (%),14.192495921696574
2021-05-11,,low/high credibility (%),17.735849056603772
2021-05-12,,low/high credibility (%),19.672131147540984
2021-05-13,,low/high credibility (%),13.911620294599016
2021-05-14,,low/high credibility (%),18.05792163543441
2021-05-15,,low/high credibility (%),17.841409691629956
2021-05-16,,low/high credibility (%),22.067039106145252
2021-05-17,,low/high credibility (%),21.729490022172946
2021-05-18,,low/high credibility (%),18.796992481203006
2021-05-19,,low/high credibility (%),23.167848699763592
2021-05-20,,low/high credibility (%),23.863636363636363
2021-05-21,,low/high credibility (%),18.491484184914842
2021-05-22,,low/high credibility (%),25.20775623268698
2021-05-23,,low/high credibility (%),25.563909774436087
2021-05-24,,low/high credibility (%),32.57575757575758
2021-05-25,,low/high credibility (%),30.208333333333332
2021-05-26,,low/high credibility (%),34.57943925233645
2021-05-27,,low/high credibility (%),41.59021406727829
2021-05-28,,low/high credibility (%),33.15926892950392
2021-05-29,,low/high credibility (%),31.25
2021-05-30,,low/high credibility (%),30.79584775086505
2021-05-31,,low/high credibility (%),30.39772727272727
2021-06-01,,low/high credibility (%),36.05263157894737
2021-06-02,,low/high credibility (%),35.50913838120104
2021-06-03,,low/high credibility (%),36.607142857142854
2021-06-04,,low/high credibility (%),46.590909090909086
2021-06-05,,low/high credibility (%),36.36363636363637
2021-06-06,,low/high credibility (%),35.44303797468354
2021-06-07,,low/high credibility (%),28.438228438228435
2021-06-08,,low/high credibility (%),28.279883381924197
2021-06-09,,low/high credibility (%),22.900763358778626
2021-06-10,,low/high credibility (%),25.44861337683524
