region,fornitore,date,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,population,no_tweets,no_lowcred_tweets,no_highcred_tweets,frac_low,frac_high,total_doses,prima_dose_per_million_population,seconda_dose_per_million_population,total_doses_per_million_population,modified_acceptance,hesitant_sideeffects
Abruzzo,Janssen,2021-04-28,135,160,295,0,1293941,1.39130,0.00000,0.00000,0.00000,0.00000,295,227.98567,0.00000,227.98567,92.57823,
Abruzzo,Moderna,2021-04-28,697,883,1423,157,1293941,1.39130,0.00000,0.00000,0.00000,0.00000,1580,1099.74102,121.33474,1221.07577,92.57823,
Abruzzo,Pfizer/BioNTech,2021-04-28,1681,1945,1761,1865,1293941,1.39130,0.00000,0.00000,0.00000,0.00000,3626,1360.95850,1441.33311,2802.29160,92.57823,
Abruzzo,Vaxzevria (AstraZeneca),2021-04-28,2072,1937,4007,2,1293941,1.39130,0.00000,0.00000,0.00000,0.00000,4009,3096.74089,1.54567,3098.28655,92.57823,
Abruzzo,Any,2021-04-28,4585,4925,7486,2024,1293941,1.39130,0.00000,0.00000,0.00000,0.00000,9510,5785.42607,1564.21352,7349.63959,92.57823,
Abruzzo,Janssen,2021-04-29,229,210,439,0,1293941,1.44444,0.00000,0.00000,0.00000,0.00000,439,339.27358,0.00000,339.27358,92.73481,
Abruzzo,Moderna,2021-04-29,408,561,317,652,1293941,1.44444,0.00000,0.00000,0.00000,0.00000,969,244.98799,503.88696,748.87495,92.73481,
Abruzzo,Pfizer/BioNTech,2021-04-29,2867,3521,3950,2438,1293941,1.44444,0.00000,0.00000,0.00000,0.00000,6388,3052.68942,1884.16628,4936.85570,92.73481,
Abruzzo,Vaxzevria (AstraZeneca),2021-04-29,2346,2526,4867,5,1293941,1.44444,0.00000,0.00000,0.00000,0.00000,4872,3761.37706,3.86416,3765.24123,92.73481,
Abruzzo,Any,2021-04-29,5850,6818,9573,3095,1293941,1.44444,0.00000,0.00000,0.00000,0.00000,12668,7398.32805,2391.91741,9790.24546,92.73481,
Abruzzo,Janssen,2021-04-30,187,187,374,0,1293941,1.38462,0.00000,0.00000,0.00000,0.00000,374,289.03945,0.00000,289.03945,92.64767,
Abruzzo,Moderna,2021-04-30,1124,1225,549,1800,1293941,1.38462,0.00000,0.00000,0.00000,0.00000,2349,424.28519,1391.09898,1815.38416,92.64767,
Abruzzo,Pfizer/BioNTech,2021-04-30,3228,3778,3116,3890,1293941,1.38462,0.00000,0.00000,0.00000,0.00000,7006,2408.14689,3006.31945,5414.46635,92.64767,
Abruzzo,Vaxzevria (AstraZeneca),2021-04-30,1264,1399,2663,0,1293941,1.38462,0.00000,0.00000,0.00000,0.00000,2663,2058.05365,0.00000,2058.05365,92.64767,
Abruzzo,Any,2021-04-30,5803,6589,6702,5690,1293941,1.38462,0.00000,0.00000,0.00000,0.00000,12392,5179.52519,4397.41843,9576.94362,92.64767,
Abruzzo,Janssen,2021-05-01,7,3,10,0,1293941,2.03191,0.00000,0.00000,0.00000,0.00000,10,7.72833,0.00000,7.72833,93.64430,
Abruzzo,Moderna,2021-05-01,585,717,462,840,1293941,2.03191,0.00000,0.00000,0.00000,0.00000,1302,357.04874,649.17952,1006.22826,93.64430,
Abruzzo,Pfizer/BioNTech,2021-05-01,3653,4194,3715,4132,1293941,2.03191,0.00000,0.00000,0.00000,0.00000,7847,2871.07372,3193.34498,6064.41870,93.64430,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-01,807,780,1585,2,1293941,2.03191,0.00000,0.00000,0.00000,0.00000,1587,1224.93993,1.54567,1226.48560,93.64430,
Abruzzo,Any,2021-05-01,5052,5694,5772,4974,1293941,2.03191,0.00000,0.00000,0.00000,0.00000,10746,4460.79072,3844.07017,8304.86089,93.64430,
Abruzzo,Janssen,2021-05-02,15,6,21,0,1293941,1.75309,0.00000,0.00000,0.00000,0.00000,21,16.22949,0.00000,16.22949,94.20496,
Abruzzo,Moderna,2021-05-02,596,632,145,1083,1293941,1.75309,0.00000,0.00000,0.00000,0.00000,1228,112.06075,836.97788,949.03863,94.20496,
Abruzzo,Pfizer/BioNTech,2021-05-02,3667,3932,3473,4126,1293941,1.75309,0.00000,0.00000,0.00000,0.00000,7599,2684.04819,3188.70799,5872.75618,94.20496,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-02,810,766,1575,1,1293941,1.75309,0.00000,0.00000,0.00000,0.00000,1576,1217.21160,0.77283,1217.98444,94.20496,
Abruzzo,Any,2021-05-02,5088,5336,5214,5210,1293941,1.75309,0.00000,0.00000,0.00000,0.00000,10424,4029.55003,4026.45870,8056.00874,94.20496,
Abruzzo,Janssen,2021-05-03,290,296,586,0,1293941,1.75893,0.00000,0.00893,0.00000,0.00446,586,452.88000,0.00000,452.88000,94.42390,
Abruzzo,Moderna,2021-05-03,444,555,484,515,1293941,1.75893,0.00000,0.00893,0.00000,0.00446,999,374.05106,398.00887,772.05993,94.42390,
Abruzzo,Pfizer/BioNTech,2021-05-03,3059,3491,3220,3330,1293941,1.75893,0.00000,0.00893,0.00000,0.00446,6550,2488.52150,2573.53311,5062.05461,94.42390,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-03,1445,1527,2969,3,1293941,1.75893,0.00000,0.00893,0.00000,0.00446,2972,2294.54048,2.31850,2296.85898,94.42390,
Abruzzo,Any,2021-05-03,5238,5869,7259,3848,1293941,1.75893,0.00000,0.00893,0.00000,0.00446,11107,5609.99304,2973.86048,8583.85351,94.42390,
Abruzzo,Janssen,2021-05-04,182,190,372,0,1293941,1.79787,0.00000,0.01064,0.00000,0.01064,372,287.49379,0.00000,287.49379,94.70912,
Abruzzo,Moderna,2021-05-04,462,569,525,506,1293941,1.79787,0.00000,0.01064,0.00000,0.01064,1031,405.73720,391.05338,796.79058,94.70912,
Abruzzo,Pfizer/BioNTech,2021-05-04,2578,3140,2672,3046,1293941,1.79787,0.00000,0.01064,0.00000,0.01064,5718,2065.00915,2354.04860,4419.05775,94.70912,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-04,1811,1786,3533,64,1293941,1.79787,0.00000,0.01064,0.00000,0.01064,3597,2730.41816,49.46130,2779.87945,94.70912,
Abruzzo,Any,2021-05-04,5033,5685,7102,3616,1293941,1.79787,0.00000,0.01064,0.00000,0.01064,10718,5488.65829,2794.56328,8283.22157,94.70912,
Abruzzo,Janssen,2021-05-05,225,213,438,0,1293941,2.51351,0.00000,0.01802,0.00000,0.01014,438,338.50075,0.00000,338.50075,95.39815,
Abruzzo,Moderna,2021-05-05,1049,1183,946,1286,1293941,2.51351,0.00000,0.01802,0.00000,0.01014,2232,731.09980,993.86294,1724.96273,95.39815,
Abruzzo,Pfizer/BioNTech,2021-05-05,2981,3446,2579,3848,1293941,2.51351,0.00000,0.01802,0.00000,0.01014,6427,1993.13570,2973.86048,4966.99618,95.39815,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-05,1297,1205,2483,19,1293941,2.51351,0.00000,0.01802,0.00000,0.01014,2502,1918.94375,14.68382,1933.62758,95.39815,
Abruzzo,Any,2021-05-05,5552,6047,6446,5153,1293941,2.51351,0.00000,0.01802,0.00000,0.01014,11599,4981.68000,3982.40723,8964.08723,95.39815,
Abruzzo,Janssen,2021-05-06,512,513,1025,0,1293941,1.73548,0.00000,0.00645,0.00000,0.00215,1025,792.15358,0.00000,792.15358,95.14031,
Abruzzo,Moderna,2021-05-06,472,673,916,229,1293941,1.73548,0.00000,0.00645,0.00000,0.00215,1145,707.91481,176.97870,884.89352,95.14031,
Abruzzo,Pfizer/BioNTech,2021-05-06,3586,4165,3038,4713,1293941,1.73548,0.00000,0.00645,0.00000,0.00215,7751,2347.86594,3642.36082,5990.22676,95.14031,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-06,1520,1569,3001,88,1293941,1.73548,0.00000,0.00645,0.00000,0.00215,3089,2319.27113,68.00928,2387.28041,95.14031,
Abruzzo,Any,2021-05-06,6090,6920,7980,5030,1293941,1.73548,0.00000,0.00645,0.00000,0.00215,13010,6167.20546,3887.34880,10054.55426,95.14031,
Abruzzo,Janssen,2021-05-07,28,17,45,0,1293941,1.72093,0.00000,0.00000,0.00000,0.00000,45,34.77747,0.00000,34.77747,94.83705,
Abruzzo,Moderna,2021-05-07,229,290,338,181,1293941,1.72093,0.00000,0.00000,0.00000,0.00000,519,261.21747,139.88273,401.10020,94.83705,
Abruzzo,Pfizer/BioNTech,2021-05-07,3986,4751,4569,4168,1293941,1.72093,0.00000,0.00000,0.00000,0.00000,8737,3531.07290,3221.16696,6752.23986,94.83705,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-07,1456,1428,2813,71,1293941,1.72093,0.00000,0.00000,0.00000,0.00000,2884,2173.97857,54.87113,2228.84969,94.83705,
Abruzzo,Any,2021-05-07,5699,6486,7765,4420,1293941,1.72093,0.00000,0.00000,0.00000,0.00000,12185,6001.04642,3415.92082,9416.96723,94.83705,
Abruzzo,Janssen,2021-05-08,160,164,324,0,1293941,1.82857,0.00000,0.01905,0.00000,0.01270,324,250.39782,0.00000,250.39782,94.36419,
Abruzzo,Moderna,2021-05-08,423,526,524,425,1293941,1.82857,0.00000,0.01905,0.00000,0.01270,949,404.96437,328.45392,733.41829,94.36419,
Abruzzo,Pfizer/BioNTech,2021-05-08,3158,3889,3930,3117,1293941,1.82857,0.00000,0.01905,0.00000,0.01270,7047,3037.23276,2408.91973,5446.15249,94.36419,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-08,1136,845,1688,293,1293941,1.82857,0.00000,0.01905,0.00000,0.01270,1981,1304.54171,226.44000,1530.98171,94.36419,
Abruzzo,Any,2021-05-08,4877,5424,6466,3835,1293941,1.82857,0.00000,0.01905,0.00000,0.01270,10301,4997.13665,2963.81365,7960.95031,94.36419,
Abruzzo,Janssen,2021-05-09,243,229,472,0,1293941,1.92000,0.00000,0.01333,0.00000,0.01333,472,364.77706,0.00000,364.77706,93.62670,
Abruzzo,Moderna,2021-05-09,350,378,99,629,1293941,1.92000,0.00000,0.01333,0.00000,0.01333,728,76.51044,486.11181,562.62225,93.62670,
Abruzzo,Pfizer/BioNTech,2021-05-09,2691,3188,2737,3142,1293941,1.92000,0.00000,0.01333,0.00000,0.01333,5879,2115.24328,2428.24055,4543.48382,93.62670,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-09,803,1269,975,1097,1293941,1.92000,0.00000,0.01333,0.00000,0.01333,2072,753.51195,847.79754,1601.30949,93.62670,
Abruzzo,Any,2021-05-09,4087,5064,4283,4868,1293941,1.92000,0.00000,0.01333,0.00000,0.01333,9151,3310.04273,3762.14990,7072.19263,93.62670,
Abruzzo,Janssen,2021-05-10,23,20,43,0,1293941,2.34375,0.00000,0.01042,0.00000,0.00347,43,33.23181,0.00000,33.23181,93.42817,
Abruzzo,Moderna,2021-05-10,673,722,142,1253,1293941,2.34375,0.00000,0.01042,0.00000,0.00347,1395,109.74225,968.35945,1078.10171,93.42817,
Abruzzo,Pfizer/BioNTech,2021-05-10,2724,3430,3070,3084,1293941,2.34375,0.00000,0.01042,0.00000,0.00347,6154,2372.59659,2383.41625,4756.01283,93.42817,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-10,1363,1151,2203,311,1293941,2.34375,0.00000,0.01042,0.00000,0.00347,2514,1702.55058,240.35099,1942.90157,93.42817,
Abruzzo,Any,2021-05-10,4783,5323,5458,4648,1293941,2.34375,0.00000,0.01042,0.00000,0.00347,10106,4218.12123,3592.12669,7810.24792,93.42817,
Abruzzo,Janssen,2021-05-11,33,27,60,0,1293941,2.09346,0.00000,0.00935,0.00000,0.00134,60,46.36997,0.00000,46.36997,93.03798,
Abruzzo,Moderna,2021-05-11,780,845,271,1354,1293941,2.09346,0.00000,0.00935,0.00000,0.00134,1625,209.43768,1046.41556,1255.85324,93.03798,
Abruzzo,Pfizer/BioNTech,2021-05-11,2800,3740,3704,2836,1293941,2.09346,0.00000,0.00935,0.00000,0.00134,6540,2862.57256,2191.75372,5054.32628,93.03798,
Abruzzo,Vaxzevria (AstraZeneca),2021-05-11,1485,1030,1874,641,1293941,2.09346,0.00000,0.00935,0.00000,0.00134,2515,1448.28860,495.38580,1943.67440,93.03798,
Abruzzo,Any,2021-05-11,5098,5642,5909,4831,1293941,2.09346,0.00000,0.00935,0.00000,0.00134,10740,4566.66880,3733.55508,8300.22389,93.03798,
Abruzzo,Janssen,2021-05-12,40,60,100,0,1293941,1.68807,0.00000,0.00917,0.00000,0.00459,100,77.28328,0.00000,77.28328,92.21559,
Abruzzo,Moderna,2021-05-12,295,375,168,502,1293941,1.68807,0.00000,0.00917,0.00000,0.00459,670,129.83590,387.96205,517.79795,92.21559,
Abruzzo,Pfizer/BioNTech,2021-05-12,2704,3309,3553,2460,1293941,1.68807,0.00000,0.00917,0.00000,0.00459,6013,2745.87481,1901.16860,4647.04341,92.21559,
